111;12231;/products/deposits/deposit/12231/?mark_rate=2837384&sum=0&currency_id=45&period=365&rate=20&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Светлое будущее»";"Рублев";20.0;1.0;50000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									3 000 рублей, 100 долларов/евро; в течении первых 60 дней со дня открытия вклада								";"2014-12-26 13:06:36.462056";"2014-12-26 14:00:42.171303"
112;11664;/products/deposits/deposit/11664/?mark_rate=2823285&sum=0&currency_id=45&period=368&rate=20&cap=0&pp=3&ppv=1m;"«Подарочный»";"Образование";20.0;1.00821917808219;50000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									1 000 рублей; при сроке вклада 368 дней не позднее 30 календарных дней, а при сроке вклада 1096 дней не позднее 600 календарных дней до окончания срока вклада								";"2014-12-26 13:06:36.486631";"2014-12-26 14:00:43.181817"
113;7788;/products/deposits/deposit/7788/?mark_rate=2836329&sum=0&currency_id=45&period=365&rate=20&cap=1&cp=3&cpv=1m&pp=1&ppv=END;"«Максимальный доход»";"Евромет";20.0;1.0;100000;;;"возможно";"
										есть ограничения:
										срок внесения пополнения									";"
									в течение 180 дней с даты открытия вклада								";"2014-12-26 13:06:36.509441";"2014-12-26 14:00:44.224276"
114;8531;/products/deposits/deposit/8531/?mark_rate=2830257&sum=0&currency_id=45&period=367&rate=20&cap=1&cp=3&cpv=1m&pp=1&ppv=END;"«Капитал - онлайн»";"Региональный Кредит";20.0;1.00547945205479;100000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									1 000 рублей								";"2014-12-26 13:06:36.533941";"2014-12-26 14:00:45.255828"
118;11758;/products/deposits/deposit/11758/?mark_rate=2817774&sum=0&currency_id=45&period=367&rate=20&cap=0&pp=3&ppv=1m;"«Зимняя вишня»";"Ренессанс";20.0;1.00547945205479;300000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									5 000 рублей; не позднее трех месяцев до окончания срока вклада сроком 367 дней, не позднее шести месяцев до окончания срока вклада сроком 730 дней								";"2014-12-26 13:06:36.621356";"2014-12-26 14:00:45.937956"
119;10463;/products/deposits/deposit/10463/?mark_rate=2828483&sum=0&currency_id=45&period=370&rate=20&cap=0&pp=3&ppv=1m;"«Бонус Плюс (ежемесячно)»";"Русский Торговый Банк";20.0;1.01369863013699;300000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									10 000 рублей, 300 долларов/евро; не позднее 30 дней до окончания срока вклада								";"2014-12-26 13:06:36.639719";"2014-12-26 14:00:46.889016"
122;12089;/products/deposits/deposit/12089/?mark_rate=2820893&sum=0&currency_id=45&period=377&rate=19.9&cap=0&pp=1&ppv=END;"«Антикризисный»";"Таурус Банк";19.9;1.03287671232877;10000;;;"возможно";;;"2014-12-26 13:06:36.710488";"2014-12-26 14:00:47.731316"
130;11772;/products/deposits/deposit/11772/?mark_rate=2825318&sum=0&currency_id=45&period=730&rate=19.5&cap=0&pp=3&ppv=1m;"«Новогодний процент»";"Анталбанк";19.5;2.0;50000;;;"возможно";"
										есть ограничения:
										срок внесения пополнения									";"
									не позднее 30 дней до окончания срока вклада								";"2014-12-26 13:06:40.400993";"2014-12-26 14:00:48.438161"
134;10998;/products/deposits/deposit/10998/?mark_rate=2822288&sum=0&currency_id=45&period=548&rate=19.25&cap=0&pp=1&ppv=END;"«Максимальный долгосрочный»";"Миръ";19.25;1.5013698630137;30000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									3 000 рублей								";"2014-12-26 13:06:40.494635";"2014-12-26 14:00:49.139071"
137;11798;/products/deposits/deposit/11798/?mark_rate=2817517&sum=0&currency_id=45&period=367&rate=19.06&cap=0&pp=1&ppv=END;"«Зимняя сказка - Спецпредложение для посетителей Банки.ру»";"Югра";19.06;1.00547945205479;50000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									10 000 рублей, 300 долларов/евро; не позднее чем за 30 дней до окончания срока вклада								";"2014-12-26 13:06:40.558465";"2014-12-26 14:00:49.980757"
